Spark,17370
Java,15107
大数据开发经验,13420
Python,12693
Hadoop,10208
Flink,9972
计算机相关专业,9955
SQL,9876
Kafka,7199
大数据,6474
Hive,6466
数仓建设经验,4918
Scala,4746
HIVE,4643
Hbase,4201
Shell,3339
ETL开发经验,3234
数学/统计相关专业,3072
数据仓库,2546
数据分析,2156
