date,kqizuihao,kqizuicha
1,41.2,236.6
2,24.8,156.2
3,27.8,115.0
4,23.8,100.6
5,27.4,113.6
6,20.8,76.4
7,18.8,70.8
8,20.6,77.6
9,28.6,80.4
10,18.6,129.8
11,24.2,166.4
12,34.8,212.2
