大数据运维,5-10年,学历不限,深圳,福田区,车公庙,13-20K,拓保软件,运维开发/DevOps.DBA.大数据运维经验.运维开发经验.混合云环境部署
大数据开发工程师,1-3年,本科,深圳,南山区,科技园,10-15K·14薪,名通科技,Java.Scala.计算机相关专业.大数据开发经验.HaDoop
大数据开发-数仓,5-10年,大专,深圳,南山区,南头,18-21K,建广数科,Hive.Flink.数仓建设经验
大数据分析工程师,1-3年,本科,深圳,宝安区,沙井,14-18K,深联电路,回归分析.Hadoop.帆软，SMART BI
大数据/Hadoop工程师,3-5年,本科,深圳,福田区,会展中心,13-18K,紫川软件,Spark.Hadoop.大数据BI.金融 银行 保险 证券
大数据总监,经验不限,本科,深圳,,,80-100K,某大型互联网公司,数据分析/挖掘经验
大数据开发,3-5年,本科,深圳,福田区,会展中心,12-20K,申朴信息,Hive.大数据开发经验.计算机相关专业.Spark.数学/统计相关专业
大数据分析师,3-5年,大专,深圳,龙岗区,坂田,21-25K,蓝创动力,MATLAB.Power BI.Hive.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
大数据架构,经验不限,学历不限,深圳,,,40-70K·15薪,某大型移动互联网公司,Spark.Kafka
大数据,1-3年,本科,深圳,福田区,新洲,11-17K,金信云服,Spark.ETL开发经验.Hadoop
大数据架构师—深圳,10年以上,大专,深圳,坪山区,坪山,20-25K,上海众调信息科技,Java.大数据开发经验.大数据架构设计经验
大数据平台开发工程师,1-3年,本科,深圳,南山区,科技园,15-25K·14薪,广东小天才,Java.Python.计算机相关专业.Trino.Clickhouse.Starrocks
大数据开发,3-5年,大专,深圳,,,35-60K,某大型计算机服务公司,Hbase.Kafka
大数据开发工程师,5-10年,大专,深圳,宝安区,石岩,30-50K·13薪,红米,SQL.ETL开发经验.大数据开发经验
高级大数据工程师,1-3年,本科,深圳,南山区,南油,20-30K,海王星辰健康药房,Java.Python.数仓建设经验.大数据开发经验.计算机相关专业.MySql.Oracle
教育大数据产品经理,3-5年,大专,深圳,宝安区,新安,20-30K,鹰硕集团,大数据产品.用户研究.产品运营.数据分析.产品设计
大数据开发,3-5年,本科,深圳,福田区,新洲,14-18K,博奥特,Spark.java
大数据开发,1-3年,本科,深圳,,,15-30K,某知名互联网公司,Python.Java.C++.Django.Pandas.Numpy.MySQL.Oracle.Spark.微服务经验
大数据开发,经验不限,本科,深圳,龙岗区,坂田,14-28K,华为,大数据开发经验.数学/统计相关专业
大数据工程师,经验不限,本科,深圳,,,20-40K,某大型电子公司,Spark.Hive.SQL
大数据算法工程师,1-3年,本科,深圳,,,10-15K,清能艾科,python.xgboost.机器学习
大数据经理（上市央企）,10年以上,本科,深圳,,,45-60K·15薪,某500强上市公司,Hive.Python.大数据开发经验.数仓建设经验.ETL开发经验.商业.物业.数字化
大数据平台架构师,5-10年,学历不限,深圳,,,50-60K·15薪,某500强上市公司,分布式技术.Java.大数据架构
大数据开发岗,3-5年,本科,深圳,福田区,华强北,10-15K,天威视讯,Java.计算机相关专业.大数据开发经验
大数据开发工程,3-5年,本科,深圳,南山区,南山中心,15-30K,健康160,Hive.Flink.SQL.大数据开发经验.ETL开发经验
测试、开发、大数据,经验不限,本科,深圳,龙岗区,坂田,14-28K·14薪,华为技术,Java.不接受居家办公.C.MySQL.Hadoop.云计算经验.Spring.Python
大数据开发工程师,3-5年,本科,深圳,,,8-11K,鹏鼎控股,SQL
大数据开发,3-5年,本科,深圳,,,20-35K·18薪,某大型互联网金融上市公司,大数据开发经验
大数据etl工程师,3-5年,大专,深圳,南山区,科技园,13-14K,平熙信息,Hive.计算机相关专业.数学/统计相关专业.物流行业数据相关经验
大数据,3-5年,本科,深圳,罗湖区,园岭,14-19K,德科信息,Java.Spark
大数据架构,10年以上,本科,深圳,,,50-70K,某大型知名消费电子公司,数仓建设经验.Hive.大数据平台架构经验.Spark.Hbase.电商/零售行业数据相关经验
资深大数据研发工程师,3-5年,本科,深圳,龙华区,民治,15-30K·13薪,老百姓大药房,Scala.Spark.Flink
大数据开发（数仓建模方向）,3-5年,本科,深圳,南山区,科技园,15-30K,深圳市光子跃动科...,SQL.数仓建设经验.计算机相关专业.数学/统计相关专业
大数据总监,10年以上,本科,深圳,,,120-200K,某大型互联网公司,Hadoop.Storm.HIVE.Flink
大数据开发,经验不限,本科,深圳,龙岗区,坂田,15-30K·14薪,华为云计算,Java.Python.C++
大数据运维工程师,5-10年,大专,深圳,福田区,新洲,12-20K,泓齐网科,计算机相关专业.运维经验.大数据运维经验.系统运维.Docker
大数据工程师,1-3年,本科,深圳,南山区,科技园,11-16K,明睿数据,大数据开发经验
大数据开发,1-3年,本科,深圳,福田区,购物公园,11-13K,博悦科创,SQL.大数据开发经验.数仓建设经验.ETL开发经验.保险.Hadoop
大数据开发工程师,经验不限,本科,深圳,南山区,南油,30-40K·15薪,北京字节跳动,Python
大数据运维工程师,3-5年,大专,深圳,龙华区,观澜,9-14K,福特智能,网络运维.计算机相关专业
大数据开发工程师(中级),3-5年,本科,深圳,龙岗区,坂田,10-15K,天阳科技,Java.ETL开发经验.大数据开发经验.数仓建设经验
大数据测试,3-5年,大专,深圳,福田区,竹子林,11-16K,新致软件,自动化测试经验.数据测试.SQL.HIVE
信贷大数据应用岗,5-10年,本科,深圳,,,15-16K·16薪,微众银行,Hive.大数据开发经验.计算机相关专业.Python
大数据数仓工程师,3-5年,本科,深圳,福田区,梅林,15-22K,立创商城 ,SQL.Hive.Spark.数仓设计/开发经验.ETL设计/开发经验.数据建模经验
大数据工程师,3-5年,本科,深圳,,,24-45K·15薪,某大型半导体公司,Hive.Spark
大数据开发工程师,3-5年,本科,深圳,,,25-30K,vivo,Spark.Kylin.Flink.Druid.大数据.HIVE
大数据工程师,1-3年,本科,深圳,龙岗区,坂田,15-30K·14薪,华为,Java.C++.Python.数学/统计相关专业.大数据开发经验.计算机相关专业
大数据工程师,经验不限,本科,深圳,龙华区,龙华,7-10K,三赢科技,数学/统计相关专业.C++.Pytho.统计及分析
大数据开发工程师,1-3年,本科,深圳,福田区,市民中心,12-20K,博彦科技,Java.Spark.计算机相关专业.大数据开发经验.scala
大数据开发工程师,3-5年,本科,深圳,福田区,皇岗,18-35K·15薪,科锐国际,Java.Spark.Hbase
大数据开发工程师,3-5年,本科,深圳,南山区,深圳湾,20-35K·13薪,天虹股份,Flink.Kafka.Java.Hive.数据仓库.Hadoop.分布式技术.Spark.大数据
大数据开发,3-5年,本科,深圳,南山区,西丽,20-35K·14薪,领星,Flink.Kafka.大数据开发经验
大数据开发工程师,经验不限,本科,深圳,南山区,西丽,20-40K·15薪,企知道,SQL.Java.Scala.HIVE.Hadoop.Spark.Flink.数仓
大数据分析,3-5年,本科,深圳,龙岗区,横岗,12-24K,达利誉,Power BI.Python.SQL.计算机相关专业.数学/统计相关专业.数据分析/挖掘经验
大数据总监,经验不限,本科,深圳,,,40-70K·15薪,某500强上市公司,Spark.Storm.Kafka.Hadoop.Flink
决策引擎（大数据开发）,5-10年,本科,深圳,福田区,梅林,35-55K·14薪,无域科技,计算机相关专业.数学/统计相关专业.数仓建设经验.特征开发
大数据开发工程师,1-3年,硕士,深圳,南山区,科技园,10-15K,深圳星桥湾创投,数学/统计相关专业.大数据开发经验.数仓建设经验
大数据总监,3-5年,本科,深圳,,,70-90K,某大型互联网公司,Hive.Spark.Storm.数据管理.数据平台建设.数据挖掘分析
